id_client,id_commande,id_produit,id_colis,exemplaire,date_avis,avis,etoile
72465,2,2189,2,2,2020-6-20,top,1
60741,155,12,155,1,2020-7-23,tres mauvaise qualité,2
59651,169,1027,169,1,2020-7-16,j aime pas trop,5
32333,190,927,190,2,2020-1-19,je suis content,3
93843,270,1240,270,1,2020-12-22,le produit n est pas original,5
86406,299,417,299,5,2020-11-1,flop,4
82388,370,1707,370,2,2021-9-9,je vous le conseille le produit est magnifique,1
70438,520,32,520,1,2021-7-25,j adoooore ce produt,3
57418,521,1695,521,1,2021-2-14,je suis contente,3
80336,526,328,526,1,2020-2-11,je suis contente,1
42749,539,1980,539,1,2020-11-8,j aime pas trop,3
15423,552,725,552,5,2020-11-11,le produit n est pas original,4
4925,648,2053,648,1,2020-10-19,j aime pas trop,4
74881,662,1525,662,2,2020-3-28,j aime bien ,5
6201,747,453,747,3,2020-3-13,top,1
36405,812,662,812,2,2021-8-13,j aime bien ,5
88956,848,1894,848,2,2020-6-14,flop,3
12286,874,1249,874,4,2021-3-13,j aime pas trop,2
88720,1022,764,1022,2,2021-5-25,je suis deçu,3
21625,1081,2083,1081,1,2020-6-16,j aime bien ,3
22099,1203,2002,1203,2,2021-8-6,je suis content,5
78245,1207,2159,1207,2,2021-9-21,je vous le conseille le produit est magnifique,4
53563,1230,554,1230,4,2020-6-27,je vous le conseille le produit est magnifique,5
39663,1269,143,1269,4,2020-6-22,j adoooore ce produt,2
84191,1404,1508,1404,2,2020-2-3,top,2
28404,1508,618,1508,1,2020-8-27,je vous le conseille le produit est magnifique,2
24013,1518,1485,1518,3,2020-3-16,le produit n est pas original,3
61416,1532,1836,1532,1,2020-9-7,je suis deçu,3
84830,1711,1950,1711,3,2020-8-24,j adoooore ce produt,3
4545,1726,1464,1726,2,2020-7-7,j aime bien ,4
27804,1870,1921,1870,2,2020-6-22,tres mauvaise qualité,4
59308,1883,669,1883,1,2020-3-16,j adoooore ce produt,4
