id_colis,id_produit,id_commande,exemplaire,motif
100038,2144,86947,5,produit abimé
100043,1205,79840,1,j ai finalement changé d’avis sur mes besoins
100124,427,20945,1,produit abimé
100138,593,3532,3,produit abimé
100139,2012,22511,4,produit abimé
100150,1158,61394,3,Le produit n’est pas à la hauteur de mes attentes
100175,2070,21935,1,Le produit n’est pas à la hauteur de mes attentes
100176,495,15267,2,Le produit n’est pas à la hauteur de mes attentes
100176,471,1496,3,Le produit n’est pas à la hauteur de mes attentes
100177,905,1884,4,il existe une différence entre la fiche produit et l’article livré
100193,1881,15493,3,Le produit ne convient pas
100212,1438,7521,4,Le produit n’est pas à la hauteur de mes attentes
100218,519,50381,4,il y a un problème de taille
100259,2085,73122,2,la couleur du produit ne me plaît pas
100260,1513,75662,2,Le produit n’est pas à la hauteur de mes attentes
100263,1774,7591,1,Le produit n’est pas à la hauteur de mes attentes
100273,1477,19138,2,il y a un problème de taille
100278,1319,80593,4,il existe une différence entre la fiche produit et l’article livré
100288,1537,63689,2,Le produit n’est pas à la hauteur de mes attentes
100293,2174,30386,2,il y a un problème de taille
100297,475,91751,2,j ai finalement changé d’avis sur mes besoins
100299,321,53717,1,produit abimé
100302,513,33450,5,il existe une différence entre la fiche produit et l’article livré
100318,287,70504,4,la couleur du produit ne me plaît pas
100324,40,51177,2,il existe une différence entre la fiche produit et l’article livré
100343,1050,97117,1,j ai finalement changé d’avis sur mes besoins
100349,1064,25313,2,il existe une différence entre la fiche produit et l’article livré
100370,1591,88081,3,j ai finalement changé d’avis sur mes besoins
100377,990,64022,1,Le produit ne convient pas
100395,243,62638,1,Le produit n’est pas à la hauteur de mes attentes
100425,193,838,1,j ai finalement changé d’avis sur mes besoins
100425,201,26764,4,il existe une différence entre la fiche produit et l’article livré
100440,1720,6704,1,j ai finalement changé d’avis sur mes besoins
100447,304,87704,4,la couleur du produit ne me plaît pas
100473,1607,27800,5,produit abimé
100496,1078,11371,4,Le produit n’est pas à la hauteur de mes attentes
100498,996,26389,4,il existe une différence entre la fiche produit et l’article livré
100508,62,34694,2,il y a un problème de taille
100509,859,51079,1,la couleur du produit ne me plaît pas
100509,394,23498,3,produit abimé
100520,192,35400,3,il y a un problème de taille
100521,1756,66278,1,produit abimé
100537,1915,27041,4,j ai finalement changé d’avis sur mes besoins
100549,1583,29655,4,il y a un problème de taille
100567,447,85153,1,il existe une différence entre la fiche produit et l’article livré
100620,13,77591,1,produit abimé
100654,476,83750,3,il y a un problème de taille
100668,1355,76213,1,il existe une différence entre la fiche produit et l’article livré
100669,1617,27104,1,produit abimé
100675,471,82020,2,Le produit n’est pas à la hauteur de mes attentes
100680,380,67680,3,j ai finalement changé d’avis sur mes besoins
100696,692,34351,2,il y a un problème de taille
100704,1122,94009,2,produit abimé
100706,1108,52881,1,j ai finalement changé d’avis sur mes besoins
100731,470,63976,2,Le produit n’est pas à la hauteur de mes attentes
100744,2163,37007,3,la couleur du produit ne me plaît pas
100766,1377,12647,2,il existe une différence entre la fiche produit et l’article livré
100778,1702,12175,3,la couleur du produit ne me plaît pas
100780,1896,56609,2,Le produit ne convient pas
100803,658,90584,2,j ai finalement changé d’avis sur mes besoins
100814,62,93910,3,il y a un problème de taille
100847,492,41144,1,produit abimé
100849,1563,7677,4,j ai finalement changé d’avis sur mes besoins
100906,1915,30794,3,Le produit ne convient pas
100913,814,20179,2,la couleur du produit ne me plaît pas
100913,12,63518,4,Le produit ne convient pas
100925,332,79768,3,j ai finalement changé d’avis sur mes besoins
100939,94,1559,4,Le produit n’est pas à la hauteur de mes attentes
100959,2019,74817,1,Le produit n’est pas à la hauteur de mes attentes
100969,2025,41507,1,produit abimé
100969,1853,18233,3,j ai finalement changé d’avis sur mes besoins
101008,1283,64133,3,Le produit n’est pas à la hauteur de mes attentes
